Region,Incident_Date,Year,Reported_Month,Number_Dead,Minimum_Estimated_Number_of_Missing,Total Number_of_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death
Southern Asia,"Thu, 02/10/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Thu, 02/10/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,0.0,1.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Thu, 02/10/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,0.0,1.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sat, 02/12/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Accidental death
Southern Asia,"Sat, 02/12/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Sun, 02/13/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Mixed or unknown
Southern Asia,"Sun, 02/13/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Mon, 02/14/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Mon, 02/14/2022 - 12:00",2022,February,1.0,0.0,1,0.0,1.0,0.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Wed, 02/16/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Thu, 02/17/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Thu, 02/17/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sun, 02/20/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Mon, 02/21/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,0.0,1.0,Accidental death
Southern Asia,"Mon, 02/21/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Tue, 02/22/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Mixed or unknown
Southern Asia,"Wed, 02/23/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Accidental death
Southern Asia,"Wed, 02/23/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Wed, 02/23/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Wed, 02/23/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Wed, 02/23/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sat, 01/01/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sat, 01/01/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Mon, 01/03/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Mon, 01/03/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Southern Asia,"Tue, 01/04/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Tue, 01/04/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Tue, 01/04/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Tue, 01/04/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Tue, 01/04/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,1.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Tue, 01/04/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Tue, 01/04/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Tue, 01/04/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Wed, 01/05/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,1.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Wed, 01/05/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Accidental death
Southern Asia,"Wed, 01/05/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Accidental death
Southern Asia,"Thu, 01/06/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Fri, 01/07/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Fri, 01/07/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Fri, 01/07/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sat, 01/08/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Sat, 01/08/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sat, 01/08/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Southern Asia,"Sun, 01/09/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Tue, 01/11/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Fri, 01/14/2022 - 12:00",2022,January,1.0,0.0,1,0.0,1.0,0.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Sat, 01/15/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sat, 01/15/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sat, 01/15/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Southern Asia,"Mon, 01/17/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Tue, 01/18/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Thu, 01/20/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Thu, 01/20/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,1.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Thu, 01/20/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Thu, 01/20/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Thu, 01/20/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Mixed or unknown
Southern Asia,"Thu, 01/20/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Southern Asia,"Sat, 01/22/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Tue, 01/25/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Thu, 01/27/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Fri, 01/28/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Fri, 01/28/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sun, 01/30/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Sun, 01/30/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Tue, 02/01/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Tue, 02/01/2022 - 12:00",2022,February,1.0,0.0,1,0.0,1.0,0.0,0.0,Violence
Southern Asia,"Tue, 02/01/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Thu, 02/03/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Thu, 02/03/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Fri, 02/04/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Fri, 02/04/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Wed, 01/05/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,1.0,Accidental death
Southern Asia,"Wed, 01/05/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Accidental death
Southern Asia,"Sat, 02/05/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Sun, 02/06/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Wed, 02/09/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Wed, 02/09/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Wed, 02/09/2022 - 12:00",2022,February,1.0,0.0,1,0.0,1.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Wed, 02/09/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,0.0,1.0,Sickness / lack of access to adequate healthcare
Southern Asia,"Thu, 02/10/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Thu, 02/10/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Southern Asia,"Tue, 02/15/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Mixed or unknown
Southern Asia,"Wed, 02/16/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Southern Asia,"Wed, 02/16/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Southern Asia,"Sun, 02/20/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
South-eastern Asia,"Sun, 03/20/2022 - 12:00",2022,March,2.0,26.0,28,58.0,1.0,1.0,0.0,Drowning
South-eastern Asia,"Thu, 03/24/2022 - 12:00",2022,March,1.0,0.0,1,3.0,1.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
Eastern Africa,"Sat, 03/26/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Violence
Mediterranean,"Thu, 03/24/2022 - 12:00",2022,March,2.0,0.0,2,0.0,0.0,0.0,0.0,Mixed or unknown
Mediterranean,"Sat, 03/26/2022 - 12:00",2022,March,2.0,0.0,2,0.0,0.0,0.0,0.0,Mixed or unknown
Mediterranean,"Fri, 03/25/2022 - 12:00",2022,March,1.0,0.0,1,128.0,0.0,1.0,0.0,Mixed or unknown
Mediterranean,"Fri, 03/25/2022 - 12:00",2022,March,0.0,1.0,1,0.0,0.0,1.0,0.0,Mixed or unknown
Northern Africa,"Sun, 03/27/2022 - 12:00",2022,March,2.0,0.0,2,0.0,0.0,0.0,0.0,Drowning
Southern Asia,"Tue, 03/22/2022 - 12:00",2022,March,2.0,0.0,2,1.0,2.0,0.0,2.0,Vehicle accident / death linked to hazardous transport
Europe,"Wed, 03/23/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Sickness / lack of access to adequate healthcare
Europe,"Thu, 03/10/2022 - 12:00",2022,March,2.0,6.0,8,0.0,2.0,1.0,1.0,Drowning
Mediterranean,"Tue, 03/29/2022 - 12:00",2022,March,2.0,0.0,2,0.0,0.0,2.0,0.0,Drowning
Mediterranean,"Thu, 03/31/2022 - 12:00",2022,March,11.0,0.0,11,126.0,7.0,0.0,4.0,Mixed or unknown
Central America,"Wed, 03/09/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Drowning
Central America,"Thu, 03/17/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Thu, 03/17/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Sickness / lack of access to adequate healthcare
Central America,"Mon, 03/21/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Drowning
North America,"Mon, 03/21/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
North America,"Tue, 03/22/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Central America,"Wed, 03/23/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Mediterranean,"Sat, 03/19/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Mon, 03/21/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Drowning
Central America,"Thu, 03/24/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Thu, 03/24/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Drowning
South America,"Tue, 03/22/2022 - 12:00",2022,March,3.0,0.0,3,0.0,0.0,3.0,0.0,Violence
South America,"Sat, 03/26/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
South America,"Sat, 03/26/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Sickness / lack of access to adequate healthcare
South America,"Sat, 03/26/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,0.0,1.0,Sickness / lack of access to adequate healthcare
Caribbean,"Wed, 03/23/2022 - 12:00",2022,March,0.0,2.0,2,0.0,0.0,2.0,0.0,Drowning
North America,"Thu, 03/24/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Accidental death
North America,"Sat, 03/19/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
North America,"Thu, 03/17/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Accidental death
Mediterranean,"Sat, 04/02/2022 - 12:00",2022,April,0.0,96.0,96,4.0,0.0,0.0,0.0,Drowning
Mediterranean,"Sun, 04/03/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Mediterranean,"Mon, 04/04/2022 - 12:00",2022,April,2.0,0.0,2,0.0,0.0,2.0,0.0,Drowning
Western Africa,"Sun, 03/27/2022 - 12:00",2022,March,1.0,25.0,26,48.0,0.0,0.0,1.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Europe,"Sat, 03/12/2022 - 12:00",2022,March,1.0,0.0,1,10.0,0.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
Europe,"Thu, 03/31/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Europe,"Sat, 04/02/2022 - 12:00",2022,April,2.0,0.0,2,1.0,0.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
Europe,"Sun, 04/03/2022 - 12:00",2022,April,1.0,4.0,5,6.0,0.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Europe,"Tue, 04/05/2022 - 12:00",2022,April,1.0,0.0,1,2.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Europe,"Tue, 04/05/2022 - 12:00",2022,April,2.0,0.0,2,10.0,0.0,2.0,0.0,Vehicle accident / death linked to hazardous transport
Europe,"Wed, 04/06/2022 - 12:00",2022,April,1.0,0.0,1,9.0,0.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Northern Africa,"Wed, 04/06/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
Central America,"Fri, 03/18/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Caribbean,"Mon, 03/28/2022 - 12:00",2022,March,1.0,0.0,1,0.0,1.0,0.0,0.0,Drowning
Central America,"Fri, 03/04/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
North America,"Sat, 02/19/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
North America,"Thu, 03/31/2022 - 12:00",2022,March,1.0,0.0,1,7.0,0.0,1.0,0.0,Drowning
Central America,"Sun, 03/27/2022 - 12:00",2022,March,0.0,1.0,1,0.0,0.0,1.0,0.0,Drowning
Mediterranean,"Sat, 04/09/2022 - 12:00",2022,April,4.0,10.0,14,20.0,2.0,0.0,2.0,Drowning
Mediterranean,"Fri, 04/08/2022 - 12:00",2022,April,9.0,2.0,11,18.0,4.0,0.0,4.0,Drowning
Mediterranean,"Sat, 04/09/2022 - 12:00",2022,April,5.0,11.0,16,40.0,0.0,0.0,0.0,Drowning
Mediterranean,"Sat, 04/09/2022 - 12:00",2022,April,0.0,18.0,18,2.0,0.0,0.0,0.0,Drowning
Northern Africa,"Thu, 04/07/2022 - 12:00",2022,April,2.0,0.0,2,0.0,0.0,2.0,0.0,Drowning
Northern Africa,"Thu, 04/07/2022 - 12:00",2022,April,5.0,0.0,5,0.0,0.0,0.0,0.0,Drowning
Western Asia,"Mon, 04/11/2022 - 12:00",2022,April,4.0,0.0,4,25.0,0.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
Europe,"Thu, 04/07/2022 - 12:00",2022,April,1.0,0.0,1,2.0,1.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
North America,"Sun, 04/10/2022 - 12:00",2022,April,1.0,0.0,1,3.0,0.0,1.0,0.0,Drowning
North America,"Mon, 04/11/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Northern Africa,"Sun, 04/10/2022 - 12:00",2022,April,0.0,2.0,2,17.0,0.0,2.0,0.0,Violence
Central America,"Mon, 04/04/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Mixed or unknown
Caribbean,"Thu, 04/07/2022 - 12:00",2022,April,4.0,0.0,4,0.0,0.0,0.0,0.0,Drowning
Central America,"Sat, 04/02/2022 - 12:00",2022,April,3.0,0.0,3,0.0,1.0,2.0,0.0,Vehicle accident / death linked to hazardous transport
Central America,"Sun, 04/10/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
North America,"Sun, 04/10/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Mon, 04/11/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Tue, 04/05/2022 - 12:00",2022,April,1.0,0.0,1,1.0,0.0,1.0,0.0,Violence
North America,"Mon, 04/11/2022 - 12:00",2022,April,1.0,0.0,1,0.0,1.0,0.0,0.0,Accidental death
North America,"Tue, 04/05/2022 - 12:00",2022,April,1.0,0.0,1,1.0,0.0,1.0,0.0,Accidental death
Northern Africa,"Sat, 01/01/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Northern Africa,"Tue, 01/04/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Northern Africa,"Sat, 01/08/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
Northern Africa,"Sun, 01/09/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Northern Africa,"Sat, 01/15/2022 - 12:00",2022,January,9.0,0.0,9,0.0,3.0,2.0,4.0,Accidental death
Northern Africa,"Sun, 01/16/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Northern Africa,"Mon, 01/17/2022 - 12:00",2022,January,1.0,0.0,1,0.0,0.0,0.0,1.0,Sickness / lack of access to adequate healthcare
Western Africa,"Wed, 02/02/2022 - 12:00",2022,February,16.0,0.0,16,0.0,3.0,5.0,8.0,Sickness / lack of access to adequate healthcare
Western Africa,"Tue, 02/22/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Western Africa,"Mon, 02/28/2022 - 12:00",2022,February,1.0,0.0,1,0.0,0.0,1.0,0.0,Sickness / lack of access to adequate healthcare
Northern Africa,"Tue, 03/01/2022 - 12:00",2022,March,1.0,0.0,1,0.0,0.0,1.0,0.0,Violence
Mediterranean,"Fri, 04/15/2022 - 12:00",2022,April,6.0,29.0,35,0.0,0.0,0.0,0.0,Drowning
South-eastern Asia,"Wed, 04/13/2022 - 12:00",2022,April,1.0,0.0,1,53.0,0.0,0.0,0.0,Violence
Europe,"Sat, 04/16/2022 - 12:00",2022,April,2.0,0.0,2,8.0,0.0,2.0,0.0,Drowning
Mediterranean,"Tue, 04/19/2022 - 12:00",2022,April,0.0,5.0,5,31.0,0.0,0.0,0.0,Drowning
Caribbean,"Mon, 04/04/2022 - 12:00",2022,April,0.0,27.0,27,0.0,0.0,0.0,0.0,Drowning
Central America,"Tue, 04/12/2022 - 12:00",2022,April,2.0,0.0,2,0.0,0.0,2.0,0.0,Drowning
North America,"Wed, 04/13/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Wed, 04/13/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Wed, 04/13/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
North America,"Thu, 04/14/2022 - 12:00",2022,April,2.0,0.0,2,0.0,0.0,2.0,0.0,Drowning
Central America,"Thu, 04/14/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
North America,"Thu, 04/14/2022 - 12:00",2022,April,1.0,0.0,1,0.0,1.0,0.0,0.0,Drowning
Central America,"Fri, 04/15/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,"Harsh environmental conditions / lack of adequate shelter, food, water"
North America,"Fri, 04/15/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,0.0,0.0,Drowning
Central America,"Sun, 04/17/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Sun, 04/17/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Tue, 04/19/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Tue, 04/19/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
Central America,"Tue, 04/19/2022 - 12:00",2022,April,6.0,0.0,6,0.0,0.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
Central America,"Wed, 04/20/2022 - 12:00",2022,April,3.0,0.0,3,15.0,1.0,2.0,0.0,Vehicle accident / death linked to hazardous transport
North America,"Thu, 04/21/2022 - 12:00",2022,April,3.0,0.0,3,6.0,0.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
South-eastern Asia,"Fri, 04/15/2022 - 12:00",2022,April,5.0,2.0,7,13.0,0.0,0.0,0.0,Drowning
South-eastern Asia,"Wed, 04/20/2022 - 12:00",2022,April,6.0,0.0,6,521.0,3.0,3.0,2.0,Accidental death
South-eastern Asia,"Wed, 04/27/2022 - 12:00",2022,April,1.0,0.0,1,0.0,1.0,0.0,1.0,Accidental death
Mediterranean,"Sat, 04/23/2022 - 12:00",2022,April,1.0,10.0,11,13.0,0.0,0.0,0.0,Drowning
Mediterranean,"Sat, 04/23/2022 - 12:00",2022,April,0.0,1.0,1,6.0,0.0,0.0,0.0,Drowning
Mediterranean,"Sat, 04/23/2022 - 12:00",2022,April,6.0,20.0,26,26.0,0.0,0.0,1.0,Drowning
Mediterranean,"Sat, 04/23/2022 - 12:00",2022,April,12.0,14.0,26,98.0,0.0,0.0,0.0,Drowning
Mediterranean,"Sun, 04/24/2022 - 12:00",2022,April,1.0,0.0,1,65.0,0.0,0.0,0.0,Drowning
Mediterranean,"Mon, 04/25/2022 - 12:00",2022,April,0.0,12.0,12,94.0,0.0,0.0,0.0,Drowning
Western Asia,"Mon, 04/25/2022 - 12:00",2022,April,2.0,0.0,2,11.0,0.0,0.0,0.0,Vehicle accident / death linked to hazardous transport
Northern Africa,"Tue, 04/26/2022 - 12:00",2022,April,1.0,22.0,23,36.0,11.0,0.0,7.0,Drowning
Northern Africa,"Tue, 04/26/2022 - 12:00",2022,April,0.0,2.0,2,0.0,1.0,1.0,0.0,Drowning
Northern Africa,"Tue, 04/26/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,0.0,0.0,Mixed or unknown
Central America,"Thu, 04/21/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Drowning
North America,"Thu, 04/21/2022 - 12:00",2022,April,3.0,0.0,3,0.0,0.0,3.0,0.0,Vehicle accident / death linked to hazardous transport
Central America,"Thu, 04/21/2022 - 12:00",2022,April,1.0,0.0,1,0.0,0.0,1.0,0.0,Vehicle accident / death linked to hazardous transport
